category,question,answer
常見問答集,Q01.子女從姓及改姓有那些規定？又應如何辦理登記？,一、配合民法96年5月23日修正公布，戶政事務所辦理新生兒辦理出生登記時從姓之處理原則：父母已約定子女從父姓或母姓者，提憑父母約定書辦理。父母約定不成者，由申請人於戶政事務所抽籤決定該子女依父姓或母姓登 記。逾期未辦理出生登記，經催告仍未申請者，由戶政事務所抽籤決定該子女依 父姓或母姓登記。非婚生子女，依母姓登記。無依兒童且父母身分不明者，依監護人之姓氏登記。經戶政事務所抽籤決定姓氏者或無依兒童依監護人之姓氏登記者，嗣後變更 姓氏，不計入民法第1059條第4項次數之計算。新生兒出生前或出生登記前，父母一方死亡，由生存之一方單方決定子女姓 氏，又父母均死亡，由監護人決定該子女從父姓或從母姓，心神喪失或精神耗弱者，比照辦理。申請人抽籤後不辦理出生登記，於逕為出生登記前，得再抽籤決定。另父母 一方行方不明、雙方不往來或拒絕約定子女姓氏，得依約定不成之情形，由申請人抽籤決定新生兒依父姓或母姓登記。父母已約定子女從父姓或母姓者，提憑父母約定書辦理。父母約定不成者，由申請人於戶政事務所抽籤決定該子女依父姓或母姓登 記。逾期未辦理出生登記，經催告仍未申請者，由戶政事務所抽籤決定該子女依 父姓或母姓登記。非婚生子女，依母姓登記。無依兒童且父母身分不明者，依監護人之姓氏登記。經戶政事務所抽籤決定姓氏者或無依兒童依監護人之姓氏登記者，嗣後變更 姓氏，不計入民法第1059條第4項次數之計算。新生兒出生前或出生登記前，父母一方死亡，由生存之一方單方決定子女姓 氏，又父母均死亡，由監護人決定該子女從父姓或從母姓，心神喪失或精神耗弱者，比照辦理。申請人抽籤後不辦理出生登記，於逕為出生登記前，得再抽籤決定。另父母 一方行方不明、雙方不往來或拒絕約定子女姓氏，得依約定不成之情形，由申請人抽籤決定新生兒依父姓或母姓登記。二、子女經出生登記後，申請改姓相關規定：未成年前，得由父母以書面約定，變更為父姓或母姓；成年後，得自行申請 變更為父姓或母姓。父母離婚、一方死亡、生死不明滿3年或顯有未盡保護或教養義務之情事 者，為子女之利益，得請求法院宣告變更子女之姓氏為父姓或母姓。父母變更姓氏後，已從其姓之直系血親卑親屬應隨同改姓。未成年前，得由父母以書面約定，變更為父姓或母姓；成年後，得自行申請 變更為父姓或母姓。父母離婚、一方死亡、生死不明滿3年或顯有未盡保護或教養義務之情事 者，為子女之利益，得請求法院宣告變更子女之姓氏為父姓或母姓。父母變更姓氏後，已從其姓之直系血親卑親屬應隨同改姓。三、被認領、收養者申請改姓相關規定：非婚生子女從母姓。經生父認領者，得依民法第1059條第2項至第4項 規定，未成年前，得由父母以書面約定，變更為父姓或母姓；成年後，得自行申請變更為父姓或母姓。非婚生子女經生父認領已從母姓辦理出生登記者，嗣後生父母結婚，得由父 母書面約定或由成年之當事人自行決定是否變更姓氏。收養關係成立於96年5月23日民法親屬編修正公布前，其養子女之從 姓，自應依當時民法第1078條規定，養子女從收養者之姓；有配偶者收養子女時，養子女之姓適用第1059條之規定。有關夫妻之一方收養他方之子女時，養子女之姓氏變更，應視被收養者年齡 而定，如被收養者年齡為未滿7歲或滿7歲以上之未成年人被收養時，依民法第1076 條之2規定，應由其法定代理人代為並代受意思表示或同意。準此，未成年養子女之姓氏變更，應由收養者約定；如成年子女被收養時，養子女之姓氏變更，應由收養者與被收養者約定，從養父姓、養母姓或維持原來之姓，不必得其生父母之同意。養子女被收養時，得與養父母書面約定維持原姓、從養父姓、或從養母姓。 養子女未成年前得由養父母以書面約定變更姓氏；於成年後得自行申請變更姓氏，養子女被收養後姓氏之變更，不受被收養前變更姓氏次數之限制。非婚生子女從母姓。經生父認領者，得依民法第1059條第2項至第4項 規定，未成年前，得由父母以書面約定，變更為父姓或母姓；成年後，得自行申請變更為父姓或母姓。非婚生子女經生父認領已從母姓辦理出生登記者，嗣後生父母結婚，得由父 母書面約定或由成年之當事人自行決定是否變更姓氏。收養關係成立於96年5月23日民法親屬編修正公布前，其養子女之從 姓，自應依當時民法第1078條規定，養子女從收養者之姓；有配偶者收養子女時，養子女之姓適用第1059條之規定。有關夫妻之一方收養他方之子女時，養子女之姓氏變更，應視被收養者年齡 而定，如被收養者年齡為未滿7歲或滿7歲以上之未成年人被收養時，依民法第1076 條之2規定，應由其法定代理人代為並代受意思表示或同意。準此，未成年養子女之姓氏變更，應由收養者約定；如成年子女被收養時，養子女之姓氏變更，應由收養者與被收養者約定，從養父姓、養母姓或維持原來之姓，不必得其生父母之同意。養子女被收養時，得與養父母書面約定維持原姓、從養父姓、或從養母姓。 養子女未成年前得由養父母以書面約定變更姓氏；於成年後得自行申請變更姓氏，養子女被收養後姓氏之變更，不受被收養前變更姓氏次數之限制。
常見問答集,Q02.改名有那些規定？又應如何辦理登記？,一、姓名符合下列情形之一者，當事人可向全國任一戶政事務所申請改名：同時在一公民營事業機構、機關(購)、團體或學校服務或肄業，姓名完全相同。與三親等以內直系尊親屬名字完全相同。同時在一直轄市、縣(市)設立戶籍6個月以上，姓名完全相同。與經通緝有案之人犯姓名完全相同。被認領、撤銷認領、被收養、撤銷收養或終止收養。字義粗俗不雅、音譯過長或有特殊原因。以此款事由申請改名，以3次為限。但未成年人第2次改名，應於成年後始得為之。同時在一公民營事業機構、機關(購)、團體或學校服務或肄業，姓名完全相同。與三親等以內直系尊親屬名字完全相同。同時在一直轄市、縣(市)設立戶籍6個月以上，姓名完全相同。與經通緝有案之人犯姓名完全相同。被認領、撤銷認領、被收養、撤銷收養或終止收養。字義粗俗不雅、音譯過長或有特殊原因。以此款事由申請改名，以3次為限。但未成年人第2次改名，應於成年後始得為之。二、改名須由本人或法定代理人親自申請（未成年人由法定代理人單方申請，須另附他方之同意書），備妥當事人國民身分證（未領證者以戶口名簿代替）、戶口名簿、申請人國民身分證、印章、改名證明文件、規費新臺幣 50 元及相片 1 張或數位相片（須換領國民身分證時），得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定。※ 國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢。※ 繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片。
常見問答集,Q03.如何辦理認領登記？,認領登記，以認領人為申請人，認領人不為申請時，以被認領人為申請人，並準備下列文件至任一戶政事務所辦理：認領書、法院判決書及判決確定證明書或相關文件。認領人戶口名簿、國民身分證、印章（或簽名）。申請認領同時改從父姓者，應提子女從姓約定書。規費新臺幣50元及相片1張或數位相片（須換領國民身分證時），相片規格請參照 內政部戶政司全球資訊網-國民身分證相片規格，換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定※ 繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片。認領書、法院判決書及判決確定證明書或相關文件。認領人戶口名簿、國民身分證、印章（或簽名）。申請認領同時改從父姓者，應提子女從姓約定書。規費新臺幣50元及相片1張或數位相片（須換領國民身分證時），相片規格請參照 內政部戶政司全球資訊網-國民身分證相片規格，換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定※ 繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片。
常見問答集,Q04.承租人已搬走但戶籍未遷出，可否將其戶籍遷出？,一、按行政法院56年判字第60號判例：「遷徙係事實行為，遷徙登記自應依事實認定之。」次按戶籍法第16條第1項前段規定：「遷出原鄉（鎮、市、區）3個月以上，應為遷出登記。但因服兵役、國內就學或入矯正機關收容者，得不為遷出登記。」同法第17條第1項前段規定：「由他鄉（鎮、市、區）遷入3個月以上，應為遷入登記。」同法第18條規定：「同一鄉（鎮、市、區）內變更住址3個月以上，應為住址變更登記。」又同法第50條第1項規定：「全戶遷離戶籍地，未於法定期間申請遷徙登記，無法催告，經房屋所有權人、管理機關、地方自治機關申請或無人申請時，戶政事務所得將其全戶戶籍暫遷至該戶政事務所。」如承租人已全戶遷離戶籍地，去向不明，無法催告，房屋所有權人可依上揭規定向戶籍地戶政事務所申請將其戶籍暫遷至戶政事務所地址。二、如該承租人非單獨立戶，而係遷入他人戶內之人口，可查知其現住地址者，得由戶長向戶政事務所申請催告其辦理遷徙登記，逾期不辦理時，戶政事務所得逕為登記。惟如無法查知現住地者，則戶政事務所無從催告，亦無法辦理其戶籍遷出。三、按戶籍法第79條規定：「無正當理由，違反第48條第1項規定，未於法定期間為戶籍登記之申請者，處新臺幣300元以上 900元以下罰鍰；經催告而仍不為申請者，處新臺幣900元罰鍰。」承租人如未依上開規定辦理遷徙登記，戶政事務所得依戶籍法第79條規定處以罰鍰。
常見問答集,Q05.如何辦理初設戶籍登記？,一、申請人:（一）當事人為未成年人：由法定代理人（父母雙方）、戶長。（二）當事人為成年人：本人。（三）利害關係人：無前列（一）、（二）之申請人時，得以利害關係人身分申請。（一）當事人為未成年人：由法定代理人（父母雙方）、戶長。（二）當事人為成年人：本人。（三）利害關係人：無前列（一）、（二）之申請人時，得以利害關係人身分申請。二、應備文件：（一）當事人為未成年人：由法定代理人(父母雙方)或戶長攜帶下列證件辦 理：申請人國民身分證、印章（或簽名）。內政部移民署核發之定居證。現住地戶口名簿。最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片），須核對本人人貌。（未滿14歲者得免申請國民身分證）父母一方辦理時，須另檢附他方之同意書或授權書（國外作成須經駐外館處驗證，大陸地區作成應經海基會驗證）。（二）當事人為成年人：由本人攜帶下列證件辦理：單獨成立一戶：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）單獨立戶證明文件（單獨立戶之證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→ 初設戶籍登記 查詢）（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至內政部戶政司全球資訊網-網路申辦-國民身分證影像上傳https://www.ris.gov.tw/app/portal/765上傳數位相片）設戶籍於他人戶內：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）現住地戶口名簿。（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）以利害關係人身分申請者，應附繳利害關係證明文件。（一）當事人為未成年人：由法定代理人(父母雙方)或戶長攜帶下列證件辦 理：申請人國民身分證、印章（或簽名）。內政部移民署核發之定居證。現住地戶口名簿。最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片），須核對本人人貌。（未滿14歲者得免申請國民身分證）父母一方辦理時，須另檢附他方之同意書或授權書（國外作成須經駐外館處驗證，大陸地區作成應經海基會驗證）。（二）當事人為成年人：由本人攜帶下列證件辦理：單獨成立一戶：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）單獨立戶證明文件（單獨立戶之證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→ 初設戶籍登記 查詢）（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至內政部戶政司全球資訊網-網路申辦-國民身分證影像上傳https://www.ris.gov.tw/app/portal/765上傳數位相片）設戶籍於他人戶內：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）現住地戶口名簿。（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）以利害關係人身分申請者，應附繳利害關係證明文件。申請人國民身分證、印章（或簽名）。內政部移民署核發之定居證。現住地戶口名簿。最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片），須核對本人人貌。（未滿14歲者得免申請國民身分證）父母一方辦理時，須另檢附他方之同意書或授權書（國外作成須經駐外館處驗證，大陸地區作成應經海基會驗證）。單獨成立一戶：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）單獨立戶證明文件（單獨立戶之證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→ 初設戶籍登記 查詢）（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至內政部戶政司全球資訊網-網路申辦-國民身分證影像上傳https://www.ris.gov.tw/app/portal/765上傳數位相片）（1）內政部移民署核發之定居證、印章（或簽名）。（2）單獨立戶證明文件（單獨立戶之證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→ 初設戶籍登記 查詢）（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至內政部戶政司全球資訊網-網路申辦-國民身分證影像上傳https://www.ris.gov.tw/app/portal/765上傳數位相片）設戶籍於他人戶內：（1）內政部移民署核發之定居證、印章（或簽名）。 （2）現住地戶口名簿。（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）（1）內政部移民署核發之定居證、印章（或簽名）。（2）現住地戶口名簿。（3）最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）以利害關係人身分申請者，應附繳利害關係證明文件。
常見問答集,Q06.辦理遷入單獨成立一戶，應提憑哪些文件？,遷入單獨成立一戶者，應提憑下列證明文件之一辦理（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）： 遷入本人、配偶、直系血親、直系姻親所有房屋或無償借住他人房屋者，憑房屋所有權狀或最近一期已完稅之房屋稅單或最近6個月內之買賣契約書或其他足資證明 所有權之證明文件辦理。 遷入本人、配偶、直系血親、直系姻親所租賃之房屋者，除提憑經法院或民間公證人公證之租賃契約書者外，如提憑未經法院或民間公證人公證之租賃契約書者，應同時檢附出租人之房屋所有權狀或最近一期已完稅之房屋稅單或最近6個月內買賣契約書或其他足資證明所有權之證明文件辦理。如個案情形特殊，租賃契約書仍應 繳驗正本外，出租人所有權之證明文件得以經房屋所有權人註記與正本相符並簽章之影本代替。 遷入工廠、商店、寺廟、機關、學校、其他公共處所者，憑 戶長或主持人或管理人之同意書辦理。 提憑本人、配偶、直系血親、直系姻親所繳納最近六個月內之水電費或瓦斯費收據辦理。 有居住之事實而無法提出上列證明文件者，得經警勤區佐警或戶政事務所人員查實後辦理。 另應攜帶遷出地戶口名簿、本人遷入者國民身分證、最近2年內拍攝之符合規格相片1張或數位相片，換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定。（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）、印章(或簽名)，逕向遷入地戶政事務所辦理遷入登記。遷入本人、配偶、直系血親、直系姻親所有房屋或無償借住他人房屋者，憑房屋所有權狀或最近一期已完稅之房屋稅單或最近6個月內之買賣契約書或其他足資證明 所有權之證明文件辦理。遷入本人、配偶、直系血親、直系姻親所租賃之房屋者，除提憑經法院或民間公證人公證之租賃契約書者外，如提憑未經法院或民間公證人公證之租賃契約書者，應同時檢附出租人之房屋所有權狀或最近一期已完稅之房屋稅單或最近6個月內買賣契約書或其他足資證明所有權之證明文件辦理。如個案情形特殊，租賃契約書仍應 繳驗正本外，出租人所有權之證明文件得以經房屋所有權人註記與正本相符並簽章之影本代替。遷入工廠、商店、寺廟、機關、學校、其他公共處所者，憑 戶長或主持人或管理人之同意書辦理。提憑本人、配偶、直系血親、直系姻親所繳納最近六個月內之水電費或瓦斯費收據辦理。有居住之事實而無法提出上列證明文件者，得經警勤區佐警或戶政事務所人員查實後辦理。另應攜帶遷出地戶口名簿、本人遷入者國民身分證、最近2年內拍攝之符合規格相片1張或數位相片，換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定。（國民身分證相片規格可至內政部戶政司全球資訊網https://www.ris.gov.tw/app/portal/187查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）、印章(或簽名)，逕向遷入地戶政事務所辦理遷入登記。
常見問答集,Q07.出境滿2年戶籍經戶政事務所逕為遷出登記者，如何恢復戶籍？,一、在臺有戶籍國民，持中華民國護照出境滿2年以上未入境者，戶政事務所得逕為辦理遷出（國外）登記。二、上開有戶籍國民戶籍經逕為遷出登記者，如欲返臺定居，應持中華民國護照或入國證明文件入境後，向遷入地戶政事務所辦理遷入登記，持外國護照入境者，不得辦 理遷入登記。三、應備文件:中華民國護照（或入國證明文件）。國民身分證。遷入他人戶內者應持遷入地戶口名簿。 （如欲單獨立戶者，應持單獨立戶證明文件，可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）。印章（或簽名）。最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）， 換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定中華民國護照（或入國證明文件）。國民身分證。遷入他人戶內者應持遷入地戶口名簿。 （如欲單獨立戶者，應持單獨立戶證明文件，可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）。印章（或簽名）。最近2年內拍攝之符合規格相片1張或數位相片（國民身分證相片規格可至 內政部戶政司全球資訊網-國民身分證相片規格 查詢，繳交數位相片者請至 內政部戶政司全球資訊網→網路申辦服務→國民身分證→國民身分證影像上傳 上傳數位相片）， 換領得免繳交相片或數位相片之情形，請參照國民身分證及戶口名簿製發相片影像檔建置管理辦法第14條規定
常見問答集,Q08.申請閱覽戶籍資料或交付戶籍謄本的對象（申請人）及利害關係人範圍為何？,一、戶籍謄本之申請，得向任一戶政事務所為之。二、戶籍謄本及閱覽戶籍登記資料之申請人有三：當事人。利害關係人。受委託人。當事人。利害關係人。受委託人。三、又利害關係人，指與當事人（被申請人）具有下列各款情形之一者：契約未履行或債務未清償。同為公司行號之股東或合夥人，且為執行職務所必要。訴訟繫屬之當事人，經法院通知提出其他當事人戶籍資料。當事人之配偶、直系血親。戶長與戶內人口。但寄居人口，不在此限。其他確有法律上權利義務得喪變更之關係。契約未履行或債務未清償。同為公司行號之股東或合夥人，且為執行職務所必要。訴訟繫屬之當事人，經法院通知提出其他當事人戶籍資料。當事人之配偶、直系血親。戶長與戶內人口。但寄居人口，不在此限。其他確有法律上權利義務得喪變更之關係。
常見問答集,Q09.經許可回復國籍者，如欲申請設立戶籍，其辦理程序及應備文件為何？,一、在國內申請回復國籍，申請期間均未出境者：向本部移民署（以下簡稱移民署）申請發給入國證明文件。向遷入地戶政事務所辦理遷入登記。遷入單獨立戶者，應提憑單獨立戶之證明文件。（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）遷入他人戶內者，提憑遷入戶之戶口名簿、本人印章（或簽名）。同時申辦（或換領）戶口名簿及國民身分證。向本部移民署（以下簡稱移民署）申請發給入國證明文件。向遷入地戶政事務所辦理遷入登記。遷入單獨立戶者，應提憑單獨立戶之證明文件。（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）遷入他人戶內者，提憑遷入戶之戶口名簿、本人印章（或簽名）。同時申辦（或換領）戶口名簿及國民身分證。二、在國內申請回復國籍，於核准前出境者：經許可回復國籍後，持我國護照或入國證明文件入境，應持憑經加蓋戳記之我國護照或入國證明文件向遷入地戶政事務所辦理遷入登記。遷入單獨立戶者，應提憑單獨立戶之證明文件（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）。遷入他人戶內者，提憑遷入戶之戶口名簿、本人印章（或簽名）。同時申辦（或換領）戶口名簿及國民身分證。經許可回復國籍後，持我國護照或入國證明文件入境，應持憑經加蓋戳記之我國護照或入國證明文件向遷入地戶政事務所辦理遷入登記。遷入單獨立戶者，應提憑單獨立戶之證明文件（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）。遷入他人戶內者，提憑遷入戶之戶口名簿、本人印章（或簽名）。同時申辦（或換領）戶口名簿及國民身分證。一、 移民署核發之定居證向現住地戶政事務所辦理初設戶籍登記。二、遷入單獨立戶者，應提憑單獨立戶之證明文件（單獨立戶證明文件可至 內政部戶政司全球資訊網→法規與申辦須知→戶政業務申辦須知→設籍及遷徙登記→遷入登記 查詢）。三、遷入他人戶內者，提憑遷入戶之戶口名簿、本人印章（或簽名）。四、同時申辦（或換領）戶口名簿及國民身分證。
常見問答集,Q10.我該如何申請及運用電子戶籍謄本呢？列印下來可以採認嗎？,一、請利用具98、WIN2000或XP作業環境及搭配自然人憑證ＩＣ卡相容讀卡機之個人電腦，上網至「內政部戶政司全球資訊網」點選「戶政網路申辦服務」連結至本網站，選擇申辦項目後，於讀卡機置入申請者自然人憑證ＩＣ卡，並依網頁指示步驟選擇戶籍所在地、輸入國民身分證統一編號及申請自然人憑證ＩＣ卡時的密碼並確認身分無誤後即可申請戶籍謄本。申請人得將自網路下載產製之密文檔儲存於可攜式儲存媒體（如光碟片、隨身碟…等）或直接列印紙本電子戶籍謄本，提供需用機關（單位）、機構、公司驗證使用。二、電子戶籍謄本紙本驗證：驗證者（或單位）連結至本部戶政司全球資訊網「戶政網路申辦服務系統」。選擇驗證作業進入戶政網路申辦服務驗證作業，於輸入「謄本檢查號查驗」欄位輸入謄本檢查號共42碼，並按下「確定」鍵。系統顯示電子文件驗證成功或失敗之訊息，若驗證成功可直接點選瀏覽明文資料或以點擊滑鼠右鍵選擇「另存目標」，將電子文件儲存至指定目錄下。（瀏覽明文資料須使用PDF閱讀軟體開啟檔案）驗證者（或單位）連結至本部戶政司全球資訊網「戶政網路申辦服務系統」。選擇驗證作業進入戶政網路申辦服務驗證作業，於輸入「謄本檢查號查驗」欄位輸入謄本檢查號共42碼，並按下「確定」鍵。系統顯示電子文件驗證成功或失敗之訊息，若驗證成功可直接點選瀏覽明文資料或以點擊滑鼠右鍵選擇「另存目標」，將電子文件儲存至指定目錄下。（瀏覽明文資料須使用PDF閱讀軟體開啟檔案）三、電子戶籍謄本採電子簽章及電子憑證機制，依據電子簽章法規定產製，其所產製為一密文檔與戶政事務所核發紙本具有同等效用，並經需用機關（單位）驗證相符者，可供採認。四、現行電子戶籍謄本驗證作業請參閱「戶政網路申辦服務作業說明」之「電子戶籍謄本申請及驗證程序說明」辦理。五、目前民眾申領電子戶籍謄本不需繳交規費。
